id,source,name,lat,lon,city_display,city_norm,state,oven_label,oven_confidence,oven_evidence,website,dup_count
osm:node/10000660268,osm,Sauce Pizzeria,40.7518526,-73.9958286,,,,unknown,0.0,,,1
osm:node/10003096504,osm,Antonio's Pizza,39.7564644,-89.6183477,Springfield,springfield,IL,unknown,0.0,,http://www.antonios-pizza.com/,1
osm:node/10003096505,osm,Antonio's Pizza,39.7956364,-89.7052934,Springfield,springfield,IL,unknown,0.0,,http://www.antonios-pizza.com/,1
osm:node/10003442217,osm,Marcello's Pizzeria & Ristorante,40.2244133,-77.1787523,,,,unknown,0.0,,https://www.marcelloscarlisle.com/,1
osm:node/10003578247,osm,Mountain Mike's,37.7247236,-121.4372605,,,,unknown,0.0,,,1
osm:node/10004399103,osm,Papa John's,45.4339197,-122.5589899,,,,unknown,0.0,,https://locations.papajohns.com/united-states/or/97015/clackamas/10219-se-sunnyside-rd,1
osm:node/10004562586,osm,Domino's,45.4338456,-122.5607523,,,,unknown,0.0,,https://pizza.dominos.com/oregon/clackamas/10117-se-sunnyside-road,1
osm:node/10005175512,osm,Pieology Pizzeria,33.8691679,-118.058387,,,,unknown,0.0,,,1
osm:node/10005198504,osm,Hunt Brothers Pizza,38.3750759,-89.3719522,,,,unknown,0.0,,,1
osm:node/10005620325,osm,Domino's,38.6124285,-90.0457997,Caseyville,caseyville,IL,unknown,0.0,,https://pizza.dominos.com/illinois/caseyville/2190-patricia-ct,1
osm:node/10006922971,osm,MOD Pizza,45.3241388,-122.5796409,Oregon City,oregon,,unknown,0.0,,,1
osm:node/10007777144,osm,Papa John's,38.3336183,-75.2116991,Berlin,berlin,MD,unknown,0.0,,https://locations.papajohns.com/united-states/md/21811/berlin/10132-old-ocean-city-blvd,1
osm:node/10008162923,osm,Outta Sight Pizza,37.7818381,-122.4171104,San Francisco,san francisco,CA,unknown,0.0,,,1
osm:node/10010431598,osm,Downtown Pizza Lounge,33.4484752,-112.0714804,Phoenix,phoenix,AZ,unknown,0.0,,,1
osm:node/10011826901,osm,Pizza Hut,45.425325,-122.512925,Happy Valley,happy valley,OR,unknown,0.0,,https://locations.pizzahut.com/or/happy-valley/14679-se-sunnyside-rd,1
osm:node/10012251965,osm,Sam's Italian Ristorante,41.0155723,-73.8742562,Dobbs Ferry,dobbs ferry,NY,unknown,0.0,,https://www.samsitalianristorante.com,1
osm:node/10012251982,osm,The Brick Oven Pizza,41.0160656,-73.8740541,Dobbs Ferry,dobbs ferry,NY,wood_or_coal,0.45,solid:'brick oven',https://www.thebrickovenpizzamenu.com,1
osm:node/10012556545,osm,Little Caesars,38.1150554,-121.2903232,,,,unknown,0.0,,https://littlecaesars.com/en-us/store/3436/,1
osm:node/1001388189,osm,Papa John's,38.7615488,-121.3091909,,,,unknown,0.0,,,1
osm:node/10013898306,osm,Blaze Pizza,34.6751128,-118.1483971,,,,unknown,0.0,,,1
osm:node/10013935100,osm,Domino's,34.6752409,-118.1474519,Lancaster,lancaster,CA,unknown,0.0,,https://pizza.dominos.com/california/lancaster/885-w-avenue-k,1
osm:node/10014394576,osm,Toledo's Pizza II,39.9146094,-77.905214,,,,unknown,0.0,,https://toledos2pizza.e-tab.com/todelos2/venue/60ede266b84f802da8915cd7/menu,1
osm:node/10014428083,osm,Mamma's PIZZA,39.9286825,-77.9893452,,,,unknown,0.0,,https://www.facebook.com/Mammas-PIZZA-175132869349464/,1
osm:node/1001538759,osm,Round Table Pizza,38.7541406,-121.3109671,Roseville,roseville,,unknown,0.0,,https://www.roundtablepizza.com/,1
osm:node/1001559626,osm,Original Pete's Pizza Pasta Grill,38.7596159,-121.3078258,,,,unknown,0.0,,,1
osm:node/10019276438,osm,Domino's,41.2122886,-79.3785664,Clarion,clarion,PA,unknown,0.0,,https://pizza.dominos.com/pennsylvania/clarion/865-main-street,1
osm:node/10019482966,osm,Century One Pizza,40.7244841,-74.0699319,Jersey City,jersey,NJ,unknown,0.0,,,1
osm:node/10020369358,osm,Sbarro,41.6195349,-87.8486242,,,,unknown,0.0,,,1
osm:node/10025662309,osm,The Bulldog,45.0628692,-83.4326967,Alpena,alpena,MI,unknown,0.0,,https://bobsbullpen.com/,1
osm:node/10028204546,osm,Sal's Pizza,40.7528028,-75.6051222,Slatington,slatington,,unknown,0.0,,https://www.salspizzafamilyrestaurant.com/,1
osm:node/10028601117,osm,Oregon Coast Pizzeria,43.6955565,-124.1225179,,,,unknown,0.0,,,1
osm:node/10028625509,osm,MOD Pizza,40.7844748,-124.1839761,Eureka,eureka,CA,unknown,0.0,,https://locations.modpizza.com/usa/ca/eureka/2626-broadway-st,1
osm:node/1002880708,osm,Lombardi's Pizza,40.7215933,-73.9956147,New York,new york,NY,unknown,0.0,,https://www.firstpizza.com/,1
